# Null-Hypothese: '0'=Füller, AENzKM[NAM

   1. JOHNWETHJE                 score=1.93362
   2. MICHAEL ME                 score=1.55584
   3. CHARLESACE                 score=0.93193
   4. SUSAN OSSO                 score=0.58310
   5. SUSAN ISSA                 score=0.58310
   6. SUSAN ESSA                 score=0.58310
   7. PAULTAGUPA                 score=0.57032
   8. PAULKALUPA                 score=0.57032
   9. NANCYIANNI                 score=0.54593
  10. NANCY ENNY                 score=0.54593
  11. NANCY ENNS                 score=0.54593
  12. NANCY ENNO                 score=0.54593
  13. NANCY ANNO                 score=0.54593
  14. NANCY ANNE                 score=0.54593
  15. NANCY ANNA                 score=0.54593
  16. GEORGEWOGE                 score=0.50641
  17. GEORGEVOGE                 score=0.50641
  18. GEORGELOGE                 score=0.50641
  19. GEORGEHOGE                 score=0.50641
  20. GEORGEBOGE                 score=0.50641
  21. GEORGE OGE                 score=0.50641
  22. KARENSARKS                 score=0.50376
  23. KARENEHRKE                 score=0.50376
  24. KAREN ERKE                 score=0.50376
  25. KAREN ARKO                 score=0.50376
  26. CAROL URCH                 score=0.49559
  27. CAROL ORCE                 score=0.49559
  28. CAROL ERCK                 score=0.49559
  29. CAROL ARCH                 score=0.49559
  30. CAROL ARCE                 score=0.49559
  31. CAROL ARCA                 score=0.49559
  32. EDWARDSWED                 score=0.47080
  33. GARYGIORGI                 score=0.46935
  34. GARYGEORGE                 score=0.46935
  35. GARYBAERGA                 score=0.46935
  36. LISAZINSLI                 score=0.46228
  37. LISAHENSLE                 score=0.46228
  38. DONNASANDS                 score=0.45778
  39. DONNA ONDO                 score=0.45778
  40. DONNA INDA                 score=0.45778
  41. DONNA ENDS                 score=0.45778
  42. DONNA ENDO                 score=0.45778
  43. DONNA ENDE                 score=0.45778
  44. DONNA ANDY                 score=0.45778
  45. DONNA ANDO                 score=0.45778
  46. DONNA ANDA                 score=0.45778
  47. LARRYYERLY                 score=0.43944
  48. LARRYSURLS                 score=0.43944
  49. LARRYSIRLS                 score=0.43944
  50. LARRYEHRLE                 score=0.43944
  51. LARRYEARLE                 score=0.43944
  52. LARRY IRLE                 score=0.43944
